transaction_id,products
0,"pillow,shampoo,graham crackers"
1,"laptop charger,phone case,laptop case"
2,"charcoal,shampoo,phone case"
3,"phone case,mini-fridge,bluetooth headset,charcoal,phone charger,phone"
4,"crayons,RC car,bluetooth headset,laptop,coloring book,laptop charger,pillow,laptop case,batteries"
5,"RC car,grill brush,sparklers,charcoal,decorations"
6,"bluetooth headset,phone charger,phone"
7,"tin foil hat,external hard drive"
8,"phone case,calculus textbook"
9,"chocolate bar,phone case,phone charger,bluetooth headset"
10,"laptop charger,laptop case,decorations"
11,"coloring book,bluetooth headset"
12,"laptop charger,conditioner,laptop case,phone"
13,"charcoal,tin foil hat,shampoo,phone case,conditioner"
14,"external hard drive,chocolate bar,tin foil hat,shampoo"
15,"charcoal,phone case"
16,"chocolate bar,pillow,laptop,graham crackers"
17,"marshmallows,phone charger"
18,"phone,phone case,phone charger,bluetooth headset"
19,"conditioner,graham crackers"
20,"RC car,chocolate bar"
21,"shower caddy,tin foil hat,crayons,sleeping bag,coloring book,conditioner,twin XL sheet set"
22,"chocolate bar,phone case,crayons,conditioner"
23,laptop case
24,"phone,chocolate bar,phone case,phone charger,bluetooth headset"
25,"shower caddy,tin foil hat,crayons,phone"
26,"graham crackers,phone,phone charger,crayons,bluetooth headset"
27,"shampoo,grill brush,phone charger,sparklers,pillow,batteries"
28,"chocolate bar,graham crackers"
29,"marshmallows,sparklers,chocolate bar,batteries"
30,"coloring book,bluetooth headset,phone case,phone charger,phone"
31,"phone case,phone charger"
32,"sparklers,graham crackers"
33,"marshmallows,tin foil hat,graham crackers,external hard drive,coloring book,chocolate bar,twin XL sheet set"
34,"charcoal,phone charger,pillowcase"
35,"tent,shampoo,conditioner"
36,"marshmallows,graham crackers,grill brush,phone charger,phone,chocolate bar"
37,"marshmallows,crayons,coloring book"
38,"bluetooth headset,batteries"
39,"pillowcase,conditioner"
40,"bluetooth headset,tin foil hat,external hard drive,phone"
41,"phone case,phone charger,crayons,phone"
42,"shower caddy,phone case"
43,"charcoal,phone case,chocolate bar,phone"
44,"graham crackers,conditioner,phone"
