Date,Open,High,Low,Close,Volume
31.12.2017,1303.088,1303.088,1303.088,1303.088,0
01.01.2018,1303.428,1319.119,1302.689,1318.962,111144435.2
02.01.2018,1318.208,1321.729,1307.688,1313.539,103764455.4
03.01.2018,1313.858,1326.179,1306.108,1322.868,117935024.1
04.01.2018,1323.079,1323.579,1313.852,1319.519,106311379.1
05.01.2018,1319.519,1319.519,1319.519,1319.519,0
06.01.2018,1319.519,1319.519,1319.519,1319.519,0
07.01.2018,1320.978,1322.339,1314.988,1320.619,85954795.24
08.01.2018,1320.669,1320.679,1309.041,1313.852,104639369.5
09.01.2018,1312.748,1327.931,1308.369,1317.079,128177089.6
10.01.2018,1317.039,1324.129,1315.889,1323.491,102413847
11.01.2018,1322.889,1339.562,1321.738,1337.868,105519389.7
12.01.2018,1337.868,1337.868,1337.868,1337.868,0
13.01.2018,1337.868,1337.868,1337.868,1337.868,0
14.01.2018,1337.529,1344.909,1336.259,1340.382,65244650.39
15.01.2018,1340.779,1342.502,1332.062,1338.709,109215070.2
16.01.2018,1338.968,1344.169,1326.389,1326.835,117946320.5
17.01.2018,1327.519,1333.299,1324.392,1327.158,120081803.8
18.01.2018,1327.289,1338.238,1326.659,1332.039,104627239
19.01.2018,1332.039,1332.039,1332.039,1332.039,0
20.01.2018,1332.039,1332.039,1332.039,1332.039,0
21.01.2018,1334.679,1335.891,1328.628,1334.219,95265940.31
22.01.2018,1334.309,1341.989,1331.539,1341.729,109532670
23.01.2018,1342.028,1362.192,1339.689,1359.422,113272193
24.01.2018,1357.928,1366.238,1342.729,1348.382,121869438.9
25.01.2018,1347.799,1357.299,1344.812,1349.882,91846340.66
26.01.2018,1349.882,1349.882,1349.882,1349.882,0
27.01.2018,1349.882,1349.882,1349.882,1349.882,0
28.01.2018,1349.941,1352.589,1337.778,1340.651,74937515.14
29.01.2018,1341.108,1349.05,1334.619,1338.932,111524175.4
30.01.2018,1338.938,1347.742,1332.879,1345.312,100158759.2
31.01.2018,1345.308,1351.179,1337.449,1348.932,94553050.28
01.02.2018,1349.089,1350.259,1327.601,1333.282,99768942.71
02.02.2018,1333.282,1333.282,1333.282,1333.282,0
03.02.2018,1333.282,1333.282,1333.282,1333.282,0
04.02.2018,1332.579,1341.769,1329.171,1339.871,108374364.4
05.02.2018,1340.189,1346.308,1320.378,1324.552,143526589.9
06.02.2018,1324.389,1332.479,1311.572,1318.821,123330550
07.02.2018,1318.208,1322.362,1307.248,1319.042,125657735.5
08.02.2018,1318.599,1322.919,1311.298,1316.462,135469189.7
09.02.2018,1316.462,1316.462,1316.462,1316.462,0
10.02.2018,1316.462,1316.462,1316.462,1316.462,0
11.02.2018,1315.678,1327.001,1314.439,1323.041,80481509.57
12.02.2018,1322.772,1331.212,1321.792,1329.881,94914029.84
13.02.2018,1329.739,1355.682,1318.101,1350.992,108717800.3
14.02.2018,1350.258,1357.282,1348.748,1353.842,103063019.5
15.02.2018,1354.149,1361.912,1344.998,1347.562,104749445.4
16.02.2018,1347.562,1347.562,1347.562,1347.562,0
17.02.2018,1347.562,1347.562,1347.562,1347.562,0
18.02.2018,1348.118,1351.569,1345.961,1346.968,61075990.41
19.02.2018,1346.879,1348.399,1328.642,1329.561,98576394.44
20.02.2018,1329.501,1336.448,1322.598,1325.001,98984470.61
21.02.2018,1324.792,1332.612,1321.148,1332.412,111130684.6
22.02.2018,1331.979,1332.402,1325.999,1329.162,77410003.18
23.02.2018,1329.162,1329.162,1329.162,1329.162,0
24.02.2018,1329.162,1329.162,1329.162,1329.162,0
25.02.2018,1328.838,1341.212,1326.772,1333.732,87678200.01
26.02.2018,1333.532,1336.938,1313.619,1318.622,110504853.5
27.02.2018,1318.041,1322.701,1315.791,1318.541,100733059.3
28.02.2018,1318.479,1321.289,1302.992,1317.302,126819826.1
